MAG,LOCAL DATETIME,LAT,LON,DEPTH
,y/m/d h:m:s,deg,deg,km
-0.1,05/04/2022 22:25,38.755N,122.716W,1.87
2,05/04/2022 22:24,38.758N,122.719W,1.83
1.3,05/04/2022 22:20,39.709N,121.075W,0
0.4,05/04/2022 21:41,38.843N,122.789W,0.53
1,05/04/2022 21:35,34.014N,117.074W,17.1
1.6,05/04/2022 21:23,36.250N,120.355W,8.61
0.6,05/04/2022 20:51,39.741N,120.667W,10.3
1.2,05/04/2022 20:45,35.980N,117.673W,1.8
0.6,05/04/2022 20:40,39.166N,119.561W,9.7
1,05/04/2022 20:24,38.169N,117.891W,6.4
1.3,05/04/2022 20:11,33.467N,116.515W,13.03
0.8,05/04/2022 20:07,38.812N,122.787W,1.88
2.1,05/04/2022 20:05,35.799N,118.046W,8.75
1,05/04/2022 20:05,35.801N,118.049W,8.95
1.6,05/04/2022 19:53,38.173N,117.891W,9
0,05/04/2022 19:19,38.830N,122.792W,1.76
1.6,05/04/2022 19:14,38.167N,117.820W,10.3
1.9,05/04/2022 17:39,36.459N,117.945W,10.5
0.9,05/04/2022 17:13,32.699N,115.944W,12.86
1.2,05/04/2022 16:59,38.835N,122.745W,0.66
0.3,05/04/2022 16:40,38.814N,122.818W,2.8
2,05/04/2022 16:31,40.142N,123.823W,22.9
1.1,05/04/2022 16:26,35.736N,117.543W,3.27
1.5,05/04/2022 16:12,35.038N,117.676W,-0.78
1.2,05/04/2022 16:04,38.831N,122.802W,1.75
1.7,05/04/2022 15:43,38.831N,122.802W,1.83
1.3,05/04/2022 15:37,38.776N,122.771W,1.94
1.6,05/04/2022 14:51,38.752N,122.727W,1.13
-0.1,05/04/2022 14:50,38.752N,122.727W,0.88
0.8,05/04/2022 14:47,38.795N,122.758W,2.56
1.7,05/04/2022 14:30,38.147N,117.980W,10.8
2,05/04/2022 13:21,37.072N,115.146W,0
1.1,05/04/2022 13:13,33.868N,117.504W,-0.53
1.2,05/04/2022 12:53,38.843N,122.840W,2.25
1.2,05/04/2022 11:20,33.911N,116.787W,17.52
1.2,05/04/2022 11:08,36.069N,117.859W,1.8
1.3,05/04/2022 10:55,36.070N,117.861W,1.81
1.1,05/04/2022 09:41,36.104N,117.895W,5.51
0.5,05/04/2022 09:38,38.825N,122.804W,2.7
2.5,05/04/2022 09:37,40.348N,121.343W,7.21
1.1,05/04/2022 09:28,35.802N,117.624W,7.83
1.5,05/04/2022 09:17,34.046N,117.165W,10.56
1.1,05/04/2022 09:11,33.968N,117.004W,5.71
0.7,05/04/2022 08:52,33.671N,116.771W,10.88
0.8,05/04/2022 08:45,38.168N,118.139W,12.8
1.4,05/04/2022 08:29,36.073N,117.861W,1.99
1.6,05/04/2022 08:28,36.072N,117.858W,1.87
1.7,05/04/2022 08:22,39.350N,118.100W,11.4
1.3,05/04/2022 08:11,37.407N,118.588W,12.07
0.7,05/04/2022 07:37,33.678N,116.767W,11.28
0.4,05/04/2022 07:23,36.977N,117.877W,8.1
